,index,id,offset,xmin,ymin,xmax,ymax,label,car_direction,car_curv,lane_Two_firstPoint,lane_Two_midPoint,lane_Two_lastPoint,lane_Three_firstPoint,lane_Three_midPoint,lane_Three_lastPoint
170,211,106,-0.17653736579120657,359,603,420,676,car,F,4857.465682554572,"594, 408","369, 567","132, 720","691, 408","840, 490","993, 572"
171,212,106,-0.17653736579120657,555,3,683,1277,car,F,4857.465682554572,"594, 408","369, 567","132, 720","691, 408","840, 490","993, 572"
172,215,108,-0.2031497842462524,359,602,422,675,car,F,5948.572416918513,"589, 408","356, 567","131, 720","683, 402","839, 490","993, 572"
173,216,108,-0.2031497842462524,554,1,682,1277,car,F,5948.572416918513,"589, 408","356, 567","131, 720","683, 402","839, 490","993, 572"
174,217,109,-0.19903393274299952,358,601,421,675,car,F,3347.5148601405244,"595, 402","369, 561","131, 720","683, 402","839, 490","993, 572"
175,218,110,-0.21602668226091346,358,600,423,675,car,F,7095.730556107389,"595, 402","356, 561","131, 720","679, 402","839, 490","992, 572"
176,219,110,-0.21602668226091346,554,2,683,1277,car,F,7095.730556107389,"595, 402","356, 561","131, 720","679, 402","839, 490","992, 572"
177,220,111,-0.21649379784448958,357,599,423,675,car,F,6868.793360848284,"595, 402","351, 561","131, 720","678, 402","838, 490","992, 572"
178,221,111,-0.21649379784448958,554,2,683,1277,car,F,6868.793360848284,"595, 402","351, 561","131, 720","678, 402","838, 490","992, 572"
179,222,112,-0.22528406832285539,356,597,424,675,car,F,5439.7792328856585,"588, 408","343, 567","131, 720","678, 402","833, 490","992, 572"
180,223,112,-0.22528406832285539,555,2,684,1277,car,F,5439.7792328856585,"588, 408","343, 567","131, 720","678, 402","833, 490","992, 572"
181,226,114,-0.2256397362756908,355,594,425,675,car,F,2703.489216874815,"588, 408","338, 567","131, 720","677, 402","833, 490","992, 572"
182,227,114,-0.2256397362756908,555,2,683,1277,car,F,2703.489216874815,"588, 408","338, 567","131, 720","677, 402","833, 490","992, 572"
183,228,115,-0.22744328024355434,355,592,426,675,car,F,2844.482252143162,"594, 402","349, 561","107, 720","678, 402","833, 490","992, 572"
184,229,115,-0.22744328024355434,556,2,684,1277,car,F,2844.482252143162,"594, 402","349, 561","107, 720","678, 402","833, 490","992, 572"
185,230,116,-0.23828268961915275,353,592,427,676,car,F,3952.214491681356,"593, 402","345, 561","107, 720","677, 402","832, 490","999, 578"
186,231,116,-0.23828268961915275,555,2,684,1276,car,F,3952.214491681356,"593, 402","345, 561","107, 720","677, 402","832, 490","999, 578"
187,232,117,-0.23369218155371313,353,591,428,676,car,F,1864.9505630191902,"587, 408","336, 567","107, 720","677, 402","832, 490","999, 578"
188,233,117,-0.23369218155371313,555,2,684,1277,car,F,1864.9505630191902,"587, 408","336, 567","107, 720","677, 402","832, 490","999, 578"
189,234,118,-0.21993487787049146,352,591,429,678,car,F,2580.2328284277355,"588, 408","337, 567","107, 720","678, 402","833, 490","993, 572"
190,235,118,-0.21993487787049146,555,2,684,1277,car,F,2580.2328284277355,"588, 408","337, 567","107, 720","678, 402","833, 490","993, 572"
191,236,119,-0.19792917086801648,352,592,430,681,car,F,2544.3400641078283,"588, 408","342, 567","131, 720","691, 408","840, 490","994, 572"
192,237,119,-0.19792917086801648,556,5,684,1278,car,F,2544.3400641078283,"588, 408","342, 567","131, 720","691, 408","840, 490","994, 572"
193,240,121,-0.15298288502783827,349,597,431,690,car,F,3959.654921159632,"600, 408","344, 567","131, 720","703, 408","844, 484","987, 561"
194,241,121,-0.15298288502783827,554,5,682,1278,car,F,3959.654921159632,"600, 408","344, 567","131, 720","703, 408","844, 484","987, 561"
195,242,122,-0.14143898397864604,349,600,432,695,car,F,5800.823349263527,"600, 408","344, 567","131, 720","704, 408","845, 484","987, 561"
196,243,122,-0.14143898397864604,555,2,684,1277,car,F,5800.823349263527,"600, 408","344, 567","131, 720","704, 408","845, 484","987, 561"
197,244,123,-0.15162675399409128,348,600,433,697,car,F,3605.0602413763763,"600, 408","343, 567","131, 720","704, 408","845, 484","988, 561"
198,245,123,-0.15162675399409128,556,4,684,1277,car,F,3605.0602413763763,"600, 408","343, 567","131, 720","704, 408","845, 484","988, 561"
199,250,126,-0.14598051124814884,346,598,437,703,car,F,3779.5409996986596,"601, 408","350, 567","131, 720","705, 408","846, 484","987, 561"
200,251,126,-0.14598051124814884,554,3,682,1277,car,F,3779.5409996986596,"601, 408","350, 567","131, 720","705, 408","846, 484","987, 561"
201,252,127,-0.1262061870609543,346,597,441,704,car,F,4279.016060316908,"601, 408","362, 567","131, 720","705, 408","846, 484","988, 561"
202,253,127,-0.1262061870609543,554,4,682,1277,car,F,4279.016060316908,"601, 408","362, 567","131, 720","705, 408","846, 484","988, 561"
203,254,128,-0.09252785133358397,344,598,443,709,car,F,2076.393463536765,"601, 408","364, 567","131, 720","710, 408","852, 484","987, 555"
204,255,128,-0.09252785133358397,555,2,683,1277,car,F,2076.393463536765,"601, 408","364, 567","131, 720","710, 408","852, 484","987, 555"
205,256,129,-0.08753559187588444,343,598,444,711,car,F,2611.460825211436,"601, 408","369, 567","132, 720","710, 408","852, 484","987, 555"
206,257,129,-0.08753559187588444,554,4,682,1277,car,F,2611.460825211436,"601, 408","369, 567","132, 720","710, 408","852, 484","987, 555"
207,258,130,-0.08831660164613299,341,597,445,714,car,F,2850.0612648938386,"601, 408","370, 567","144, 720","716, 414","857, 484","988, 555"
208,259,130,-0.08831660164613299,555,5,683,1277,car,F,2850.0612648938386,"601, 408","370, 567","144, 720","716, 414","857, 484","988, 555"
209,266,134,-0.06484932836535506,335,591,456,726,car,F,4167.185509620349,"595, 414","376, 567","144, 720","716, 414","852, 484","993, 555"
210,267,134,-0.06484932836535506,554,6,682,1277,car,F,4167.185509620349,"595, 414","376, 567","144, 720","716, 414","852, 484","993, 555"
211,268,135,-0.05059251939253446,332,589,458,728,car,F,4027.0226310928074,"601, 408","377, 567","164, 720","709, 408","852, 484","993, 555"
212,269,135,-0.05059251939253446,554,6,683,1277,car,F,4027.0226310928074,"601, 408","377, 567","164, 720","709, 408","852, 484","993, 555"
213,270,136,-0.03891914658681607,333,586,462,732,car,F,5645.8153876713795,"594, 414","380, 567","165, 720","709, 408","852, 484","992, 555"
214,271,136,-0.03891914658681607,554,3,683,1277,car,F,5645.8153876713795,"594, 414","380, 567","165, 720","709, 408","852, 484","992, 555"
215,272,137,-0.04257444916225806,330,584,465,735,car,F,4280.721886049967,"594, 414","380, 567","164, 720","716, 414","852, 484","988, 555"
216,273,137,-0.04257444916225806,554,6,682,1277,car,F,4280.721886049967,"594, 414","380, 567","164, 720","716, 414","852, 484","988, 555"
217,274,138,-0.05335304599417069,327,580,472,741,car,F,3788.208932407396,"594, 414","380, 567","132, 720","716, 414","851, 484","988, 555"
218,275,138,-0.05335304599417069,554,2,682,1277,car,F,3788.208932407396,"594, 414","380, 567","132, 720","716, 414","851, 484","988, 555"
219,276,139,-0.10127632719236904,326,576,474,744,car,F,2909.318362607567,"594, 420","357, 572","131, 720","723, 420","858, 490","988, 555"
220,277,139,-0.10127632719236904,555,3,683,1277,car,F,2909.318362607567,"594, 420","357, 572","131, 720","723, 420","858, 490","988, 555"
221,278,140,-0.0841211873356433,320,573,479,751,car,F,2339.1945453266526,"575, 425","369, 572","132, 720","742, 425","859, 490","988, 555"
222,279,140,-0.0841211873356433,556,5,684,1278,car,F,2339.1945453266526,"575, 425","369, 572","132, 720","742, 425","859, 490","988, 555"
223,280,141,-0.08953638305333113,319,570,480,755,car,F,999.9091105643593,"582, 420","369, 572","132, 720","723, 420","858, 490","988, 555"
224,281,142,-0.054071120307050385,315,565,487,763,car,F,2159.385026602289,"582, 420","375, 572","164, 720","730, 420","859, 490","993, 555"
225,282,143,-0.07639676381959827,311,560,495,770,car,F,748.931715580851,"582, 420","369, 572","132, 720","735, 420","859, 490","992, 555"
226,283,143,-0.07639676381959827,555,3,682,1275,car,F,748.931715580851,"582, 420","369, 572","132, 720","735, 420","859, 490","992, 555"
227,284,144,-0.056639715053850785,306,554,503,781,car,F,1034.684632606491,"575, 425","370, 572","164, 720","748, 425","864, 490","993, 555"
228,285,145,-0.04946602430498471,300,547,510,791,car,F,1248.4661748677186,"576, 425","374, 572","165, 720","748, 425","865, 490","993, 555"
229,288,147,-0.040395603897726784,285,528,535,821,car,F,4648.603584815444,"576, 425","375, 572","176, 720","742, 425","865, 490","993, 555"
230,289,147,-0.040395603897726784,554,5,682,1277,car,F,4648.603584815444,"576, 425","375, 572","176, 720","742, 425","865, 490","993, 555"
231,290,148,-0.014261453726403398,270,513,555,843,car,F,2443.9463243641694,"552, 437","369, 578","177, 720","748, 431","876, 496","993, 555"
232,291,148,-0.014261453726403398,554,19,682,1276,car,F,2443.9463243641694,"552, 437","369, 578","177, 720","748, 431","876, 496","993, 555"
233,292,149,-0.0019592105256971103,265,498,559,867,car,F,1844.2794039597336,"549, 443","357, 584","176, 720","762, 443","890, 502","993, 555"
234,293,149,-0.0019592105256971103,556,6,685,1277,car,F,1844.2794039597336,"549, 443","357, 584","176, 720","762, 443","890, 502","993, 555"
235,294,150,-0.028091243524639223,246,474,559,909,car,F,169.86842515515707,"575, 431","369, 578","189, 720","659, 431","872, 496","993, 555"
236,295,150,-0.028091243524639223,554,6,682,1277,car,F,169.86842515515707,"575, 431","369, 578","189, 720","659, 431","872, 496","993, 555"
237,296,151,0.06592862750799382,229,446,563,956,car,F,507.3339568293706,"550, 437","370, 578","195, 720","621, 443","736, 502","993, 555"
238,297,151,0.06592862750799382,554,3,681,1276,car,F,507.3339568293706,"550, 437","370, 578","195, 720","621, 443","736, 502","993, 555"
239,298,152,,199,399,566,1022,car,,,,,,,,
240,299,152,,554,2,680,1275,car,,,,,,,,
241,300,153,,147,343,587,1111,truck,,,,,,,,
242,301,153,,556,2,682,1275,car,,,,,,,,
243,302,154,,47,277,520,1215,car,,,"646, 431","253, 543","111, 649",,,
244,303,155,,22,239,528,1259,car,,,,,,,,
245,304,156,,39,263,522,1236,car,,,,,,,,
246,305,156,,145,376,154,398,car,,,,,,,,
247,306,156,,503,3,682,1277,car,,,,,,,,
248,307,157,,54,280,521,1196,car,,,,,,,,
249,308,158,,100,307,518,1152,car,,,,,,,,
250,309,159,,113,319,518,1137,car,,,,,,,,
251,310,160,,128,337,517,1120,car,,,,,,,,
252,311,161,,141,344,517,1108,car,,,,,,,,
253,312,162,,159,360,516,1097,car,,,,,,,,
254,313,162,,502,2,681,1277,car,,,,,,,,
255,314,163,,170,368,515,1092,car,,,,,,,,
256,315,164,,182,380,516,1090,car,,,,,,,,
257,316,165,,188,385,517,1090,car,,,,,,,,
258,317,166,,192,389,517,1091,car,,,,,,,,
259,318,167,,193,396,516,1100,truck,,,,,,,,
260,319,168,,186,400,516,1113,car,,,,,,,,
261,320,169,,178,401,516,1124,car,,,,,,,,
262,321,170,,150,398,517,1153,truck,,,,,,,,
263,322,171,,129,396,518,1168,car,,,,,,,,
264,323,172,,87,388,519,1221,car,,,,,,,,
265,324,173,,59,385,519,1239,car,,,,,,,,
266,325,173,,502,2,681,1277,car,,,,,,,,
267,326,174,,29,397,523,1274,car,,,,,,,,
268,327,175,,20,403,523,1280,car,,,,,,,,
269,328,176,,19,412,520,1278,car,,,,,,,,
270,329,177,,18,422,518,1278,car,,,,,,,,
271,330,178,,21,436,521,1278,car,,,,,,,,
272,331,179,,19,449,523,1278,car,,,,,,,,
273,332,180,-1.0071328841343832,35,469,522,1277,car,F,50.223942689473205,"794, 408","363, 561","196, 708","730, 431","852, 561","961, 672"
274,333,181,,54,484,525,1278,car,,,"363, 402","426, 520","285, 631",,,
275,334,181,,502,3,683,1276,car,,,"363, 402","426, 520","285, 631",,,
276,335,182,,67,493,524,1278,car,,,,,,,,
277,336,183,,83,521,523,1278,car,,,,,,,,
278,337,184,,93,531,524,1278,car,,,,,,,,
279,338,185,,103,541,523,1279,truck,,,,,,,,
280,339,186,,116,562,522,1279,car,,,,,,,,
