,index,id,offset,xmin,ymin,xmax,ymax,label,car_direction,car_curv,lane_Two_firstPoint,lane_Two_midPoint,lane_Two_lastPoint,lane_Three_firstPoint,lane_Three_midPoint,lane_Three_lastPoint
84,93,115,-0.11494808042549765,477,0,683,1279,car,F,3882.871161109581,"602, 349","368, 514","106, 678","659, 355","827, 455","998, 549"
85,94,116,-0.0895413361960201,242,764,564,1278,car,F,2942.53775950438,"613, 355","357, 525","107, 690","683, 361","844, 455","993, 549"
86,95,116,-0.0895413361960201,477,0,682,1278,car,F,2942.53775950438,"613, 355","357, 525","107, 690","683, 361","844, 455","993, 549"
87,96,117,-0.09091071170272498,248,786,564,1278,car,F,1616.3128469530452,"621, 355","364, 525","111, 696","685, 361","846, 455","988, 543"
88,97,117,-0.09091071170272498,478,0,685,1277,car,F,1616.3128469530452,"621, 355","364, 525","111, 696","685, 361","846, 455","988, 543"
89,98,118,-0.05051113440497542,255,803,562,1279,car,F,2405.4030080721514,"627, 355","364, 531","105, 708","697, 361","846, 449","999, 537"
90,99,119,-0.0292256033588367,262,809,564,1278,car,F,5108.934927768832,"632, 361","367, 537","106, 708","698, 361","851, 449","999, 537"
91,100,120,0.019086172303770216,270,834,565,1279,car,F,1950.8099760901507,"634, 361","370, 537","100, 714","710, 361","853, 449","995, 531"
92,101,121,0.039043952669144864,275,840,564,1279,car,F,1307.733543980286,"645, 361","376, 543","125, 720","716, 361","858, 449","999, 531"
93,102,122,0.08494376771655125,282,846,564,1279,car,F,1147.535414565139,"646, 361","388, 543","125, 720","717, 361","847, 443","994, 525"
94,103,123,0.12925666958640292,281,849,562,1278,car,F,3461.6579359956354,"648, 361","400, 543","125, 720","718, 361","864, 443","999, 520"
95,104,124,0.21157794342670355,274,840,564,1278,car,F,1386.7526892644732,"658, 355","408, 537","150, 720","730, 361","864, 437","994, 508"
96,105,125,0.2166263927357721,271,839,564,1279,car,F,1658.2815039440616,"658, 355","413, 537","150, 720","730, 361","865, 437","994, 508"
97,106,126,0.22231355908660602,272,830,562,1278,car,F,1345.9527832373533,"658, 355","415, 537","164, 720","730, 361","865, 437","994, 508"
98,107,127,0.21629439613453222,277,827,563,1278,car,F,1448.9618620995216,"659, 355","415, 537","164, 720","723, 355","858, 431","994, 508"
99,108,128,0.21982691739726215,281,827,563,1279,car,F,1342.682853082547,"660, 355","416, 537","164, 720","724, 355","858, 431","987, 502"
100,110,131,0.3246999370413768,290,830,563,1278,car,F,5637.037197845983,"666, 361","438, 543","190, 720","737, 361","870, 431","980, 496"
101,111,132,0.4070957047073216,297,836,564,1279,car,F,2551.849441083914,"672, 361","446, 543","202, 720","743, 361","858, 425","999, 490"
102,113,139,0.6264752607153794,320,830,563,1279,aeroplane,F,2031.567136184868,"686, 361","487, 543","317, 720","743, 361","858, 420","992, 472"
103,114,140,0.6488643080600087,323,829,563,1278,car,R,4132.739194656909,"695, 361","497, 543","318, 720","755, 361","858, 420","993, 472"
104,116,142,0.7000990535714258,335,821,563,1278,car,R,2050.2176747184867,"696, 361","510, 543","319, 720","755, 361","859, 420","993, 472"
105,117,144,0.6933910393450352,347,830,564,1279,car,R,1462.8107731034372,"697, 361","511, 543","319, 720","748, 361","858, 420","992, 472"
106,118,147,0.7412094454814194,340,814,563,1278,car,R,985.6580723329008,"699, 361","525, 543","343, 720","761, 361","876, 420","994, 472"
107,119,152,0.8325417300456914,347,823,565,1279,car,F,963.7261304256149,"711, 361","544, 543","363, 720","775, 367","884, 414","993, 461"
108,120,167,1.0807424728906028,374,853,564,1279,bus,F,2350.4340493331256,"719, 367","600, 543","467, 720","788, 367","890, 414","993, 455"
109,121,168,,379,859,565,1279,bus,,,"723, 367","602, 543","472, 720",,,
110,122,170,,387,863,565,1279,bus,,,"723, 367","613, 543","492, 720",,,
111,123,171,,390,871,564,1279,bus,,,"723, 367","614, 543","492, 720",,,
