,index,id,offset,xmin,ymin,xmax,ymax,label,car_direction,car_curv,lane_Two_firstPoint,lane_Two_midPoint,lane_Two_lastPoint,lane_Three_firstPoint,lane_Three_midPoint,lane_Three_lastPoint
43,46,42,-0.11508156810944163,359,615,380,648,car,F,2578.081320857354,"596, 384","375, 555","163, 720","653, 384","768, 502","980, 620"
44,47,43,-0.22929583840217338,359,615,380,648,car,F,1610.3404906956891,"595, 384","371, 555","144, 720","653, 384","788, 520","993, 649"
45,48,44,-0.2973476576007606,359,616,380,648,car,F,1846.6187469800439,"602, 378","380, 549","163, 720","653, 384","787, 520","993, 649"
46,49,45,-0.32461446424676055,359,616,380,649,car,F,1763.8159749032422,"602, 378","377, 549","163, 720","653, 384","793, 525","987, 672"
47,50,45,-0.32461446424676055,377,0,398,28,car,F,1763.8159749032422,"602, 378","377, 549","163, 720","653, 384","793, 525","987, 672"
48,51,46,-0.30412590250414245,358,616,379,648,car,F,2186.236063777817,"596, 384","371, 555","144, 720","652, 384","793, 525","994, 661"
49,52,47,-0.2162211792741119,358,616,380,650,car,F,1232.7994629493428,"595, 384","371, 555","138, 720","652, 384","789, 525","995, 661"
50,53,47,-0.2162211792741119,310,467,321,472,traffic light,F,1232.7994629493428,"595, 384","371, 555","138, 720","652, 384","789, 525","995, 661"
51,54,48,-0.25932119594919545,359,617,381,651,car,F,8928.508507942905,"599, 384","374, 555","150, 720","652, 384","788, 520","993, 649"
52,55,49,-0.25745551641493375,358,616,380,650,car,F,3206.8381070217993,"596, 384","374, 555","163, 720","652, 384","787, 520","993, 649"
53,57,51,-0.37442986339271994,358,616,381,651,car,F,3721.796600018673,"601, 384","377, 555","170, 720","665, 384","794, 537","935, 684"
54,58,52,-0.14730343862522283,359,617,381,652,car,F,1118.617437902522,"601, 384","383, 555","183, 720","653, 384","813, 525","995, 661"
55,59,53,-0.1945092149378679,358,617,381,653,car,F,1217.1500965309547,"601, 384","383, 555","183, 720","665, 384","793, 525","994, 661"
56,60,54,-0.35961241571898567,358,617,381,655,car,F,1698.8082365925832,"601, 384","382, 555","182, 720","652, 384","788, 525","994, 661"
57,61,55,-0.48605747454109716,358,617,381,653,car,F,4038.612076701345,"601, 384","378, 555","164, 720","652, 384","825, 555","942, 720"
58,62,56,-0.7496301785958528,357,617,382,654,car,F,9494.496050741749,"601, 384","376, 555","164, 720","659, 390","825, 555","877, 720"
59,64,58,-0.33966108601825096,357,617,381,653,car,F,3290.6211911697114,"600, 384","377, 555","164, 720","653, 384","788, 525","942, 672"
60,65,60,-0.22208969499595582,302,450,314,458,traffic light,F,1776.142739097782,"607, 378","384, 549","164, 720","659, 378","794, 520","994, 661"
61,66,61,-0.33792434755321155,356,618,381,655,truck,F,2139.6175163914395,"607, 378","384, 549","164, 720","665, 384","814, 531","935, 684"
62,70,65,-0.1691788983918359,356,619,381,657,car,F,2936.73889220754,"600, 384","382, 555","177, 720","664, 384","819, 525","994, 661"
63,72,67,-0.1807077686151262,294,492,306,501,traffic light,F,3118.2002253709943,"606, 378","396, 549","201, 720","658, 378","807, 520","994, 661"
64,73,67,-0.1807077686151262,355,619,382,659,car,F,3118.2002253709943,"606, 378","396, 549","201, 720","658, 378","807, 520","994, 661"
65,74,68,-0.1756357187455421,355,619,383,659,car,F,2099.892461807165,"606, 378","396, 549","196, 720","658, 378","807, 520","994, 661"
66,75,68,-0.1756357187455421,294,492,307,500,traffic light,F,2099.892461807165,"606, 378","396, 549","196, 720","658, 378","807, 520","994, 661"
67,76,69,-0.12972321671576598,295,436,307,443,traffic light,F,1763.34572103981,"606, 378","400, 549","196, 720","664, 384","814, 525","995, 661"
68,77,69,-0.12972321671576598,354,619,383,660,truck,F,1763.34572103981,"606, 378","400, 549","196, 720","664, 384","814, 525","995, 661"
69,78,70,-0.12321370271736676,354,620,383,659,car,F,2316.283548035551,"600, 384","394, 555","196, 720","664, 384","813, 520","995, 661"
70,79,71,-0.09585422517037803,292,432,305,441,traffic light,F,2016.2191819905652,"600, 384","389, 555","183, 720","653, 384","807, 514","993, 649"
71,80,71,-0.09585422517037803,354,620,383,660,car,F,2016.2191819905652,"600, 384","389, 555","183, 720","653, 384","807, 514","993, 649"
72,81,71,-0.09585422517037803,293,373,306,380,traffic light,F,2016.2191819905652,"600, 384","389, 555","183, 720","653, 384","807, 514","993, 649"
73,82,71,-0.09585422517037803,291,488,304,496,traffic light,F,2016.2191819905652,"600, 384","389, 555","183, 720","653, 384","807, 514","993, 649"
74,83,72,-0.12994663291026262,354,620,383,660,car,F,1638.9799003716666,"606, 378","396, 549","183, 720","646, 378","813, 520","995, 661"
75,84,73,-0.1405388442463188,354,620,384,662,car,F,1633.7329750414597,"607, 378","396, 549","183, 720","652, 378","813, 520","995, 661"
76,85,73,-0.1405388442463188,288,486,302,494,traffic light,F,1633.7329750414597,"607, 378","396, 549","183, 720","652, 378","813, 520","995, 661"
77,86,73,-0.1405388442463188,291,428,303,437,traffic light,F,1633.7329750414597,"607, 378","396, 549","183, 720","652, 378","813, 520","995, 661"
78,87,74,-0.14319036037912508,290,363,304,371,traffic light,F,1525.0435488878618,"607, 378","396, 549","183, 720","653, 378","813, 520","995, 661"
79,88,74,-0.14319036037912508,288,483,301,492,traffic light,F,1525.0435488878618,"607, 378","396, 549","183, 720","653, 378","813, 520","995, 661"
80,89,74,-0.14319036037912508,290,426,302,433,traffic light,F,1525.0435488878618,"607, 378","396, 549","183, 720","653, 378","813, 520","995, 661"
81,90,74,-0.14319036037912508,354,620,383,662,car,F,1525.0435488878618,"607, 378","396, 549","183, 720","653, 378","813, 520","995, 661"
82,91,75,-0.23942870461717716,353,621,383,664,car,F,1214.9236560243708,"606, 378","400, 549","183, 720","671, 378","812, 520","994, 661"
83,92,75,-0.23942870461717716,310,109,344,128,person,F,1214.9236560243708,"606, 378","400, 549","183, 720","671, 378","812, 520","994, 661"
84,93,76,-0.14450053555934372,288,355,302,363,traffic light,F,1526.9619649673527,"606, 378","401, 549","195, 720","647, 378","812, 520","994, 661"
85,94,76,-0.14450053555934372,353,621,384,663,car,F,1526.9619649673527,"606, 378","401, 549","195, 720","647, 378","812, 520","994, 661"
86,95,76,-0.14450053555934372,288,420,301,428,traffic light,F,1526.9619649673527,"606, 378","401, 549","195, 720","647, 378","812, 520","994, 661"
87,96,77,-0.14630903997030165,287,352,302,360,traffic light,F,1501.4958040098509,"606, 378","402, 549","196, 720","652, 378","813, 520","994, 661"
88,97,77,-0.14630903997030165,285,418,299,425,traffic light,F,1501.4958040098509,"606, 378","402, 549","196, 720","652, 378","813, 520","994, 661"
89,98,77,-0.14630903997030165,353,620,383,663,car,F,1501.4958040098509,"606, 378","402, 549","196, 720","652, 378","813, 520","994, 661"
90,99,78,-0.11648145556513166,353,621,383,665,car,F,1285.2504432324995,"603, 378","407, 549","201, 720","658, 378","812, 520","994, 661"
91,100,79,-0.11630846081767815,353,620,384,666,car,F,1175.636288083876,"603, 378","409, 549","202, 720","658, 378","812, 520","994, 661"
92,101,80,-0.6854258966374029,282,340,298,349,traffic light,F,1078.037909472825,"603, 378","422, 549","228, 720","672, 378","807, 514","993, 649"
93,102,80,-0.6854258966374029,353,620,384,666,car,F,1078.037909472825,"603, 378","422, 549","228, 720","672, 378","807, 514","993, 649"
94,103,81,,351,621,383,667,car,,,"602, 378","420, 549","228, 720",,,
95,104,81,,280,336,296,346,traffic light,,,"602, 378","420, 549","228, 720",,,
96,105,82,-0.14886372387607158,335,162,383,235,pottedplant,F,2450.2932300679167,"602, 378","414, 549","215, 720","671, 378","814, 520","994, 661"
97,106,82,-0.14886372387607158,350,621,383,668,car,F,2450.2932300679167,"602, 378","414, 549","215, 720","671, 378","814, 520","994, 661"
98,107,82,-0.14886372387607158,277,401,292,412,traffic light,F,2450.2932300679167,"602, 378","414, 549","215, 720","671, 378","814, 520","994, 661"
